player_id,player,nfl_team,nfl_season,nfl_targets,nfl_contested_targets,nfl_contested_receptions,nfl_cc_rate,nfl_receptions,nfl_rec_yards,nfl_rec_tds,nfl_yac,nfl_yac_per_rec
61577,Tylan Wallace,Ravens,2023,2,0,0,,1,11,0,2,2.0
61577,Tylan Wallace,Ravens,2024,12,0,0,,11,193,1,127,11.6
61577,Tylan Wallace,Ravens,2025,9,2,0,0.0,4,45,1,17,4.3
61588,Johnny Johnson III,Texans,2022,0,0,0,,0,0,0,0,0.0
61588,Johnny Johnson III,Texans,2023,0,0,0,,0,0,0,0,0.0
61590,KJ Hamler,Broncos,2022,18,0,0,,7,165,0,23,3.3
61610,Bo Melton,Packers,2023,24,5,3,0.6,17,224,1,38,2.2
61610,Bo Melton,Packers,2024,18,5,4,0.8,8,91,0,8,1.0
61610,Bo Melton,Packers,2025,11,3,1,0.3333333333333333,4,107,1,6,1.5
61637,Jalen Tolbert,Cowboys,2022,3,1,1,1.0,2,12,0,0,0.0
61637,Jalen Tolbert,Cowboys,2023,37,8,4,0.5,22,268,2,31,1.4
61637,Jalen Tolbert,Cowboys,2024,79,24,12,0.5,51,647,7,189,3.7
61637,Jalen Tolbert,Cowboys,2025,35,10,4,0.4,20,216,1,49,2.5
61643,Shi Smith,Panthers,2022,43,10,2,0.2,23,307,2,96,4.2
61664,Quez Watkins,Eagles,2022,53,9,1,0.1111111111111111,34,386,3,151,4.4
61664,Quez Watkins,Eagles,2023,21,7,4,0.5714285714285714,15,142,1,49,3.3
61669,Tim Jones,Jaguars,2022,4,0,0,,3,30,0,22,7.3
61669,Tim Jones,Jaguars,2023,18,4,2,0.5,11,83,0,32,2.9
61669,Tim Jones,Jaguars,2024,5,1,1,1.0,3,41,0,19,6.3
61669,Tim Jones,Jaguars,2025,1,0,0,,1,15,0,11,11.0
61697,Jalen Reagor,Vikings,2022,13,1,0,0.0,8,104,1,27,3.4
61697,Jalen Reagor,Patriots,2023,22,6,2,0.3333333333333333,7,138,0,20,2.9
61697,Jalen Reagor,Chargers,2024,12,3,2,0.6666666666666666,8,100,0,29,3.6
61765,Ethan Fernea,Colts,2022,0,0,0,,0,0,0,0,0.0
61765,Ethan Fernea,Colts,2023,0,0,0,,0,0,0,0,0.0
61811,Tay Martin,49ers,2022,0,0,0,,0,0,0,0,0.0
61811,Tay Martin,49ers,2023,0,0,0,,0,0,0,0,0.0
61811,Tay Martin,Titans,2024,2,1,0,0.0,1,49,1,5,5.0
61811,Tay Martin,Commanders,2025,2,0,0,,2,23,0,5,2.5
62890,Rondale Moore,Cardinals,2022,60,6,1,0.1666666666666666,44,418,1,304,6.9
62890,Rondale Moore,Cardinals,2023,67,8,3,0.375,43,410,1,227,5.3
62979,Joshua Palmer,Chargers,2022,107,16,7,0.4375,74,789,3,253,3.4
62979,Joshua Palmer,Chargers,2023,65,15,7,0.4666666666666667,41,632,2,213,5.2
62979,Joshua Palmer,Chargers,2024,73,15,6,0.4,43,603,1,102,2.4
62979,Joshua Palmer,Bills,2025,40,9,4,0.4444444444444444,22,303,0,54,2.5
63707,Rashid Shaheed,Saints,2022,34,1,0,0.0,28,488,2,174,6.2
63707,Rashid Shaheed,Saints,2023,71,9,5,0.5555555555555556,46,719,5,155,3.4
63707,Rashid Shaheed,Saints,2024,41,7,0,0.0,20,349,3,102,5.1
63707,Rashid Shaheed,Seahawks,2025,91,14,6,0.4285714285714285,59,687,2,182,3.1
63721,Colton Dowell,Titans,2023,2,0,0,,1,3,0,1,1.0
64309,Daylen Baldwin,Browns,2022,2,1,1,1.0,2,25,0,0,0.0
64310,Montrell Washington,Broncos,2022,10,3,0,0.0,4,2,0,14,3.5
64310,Montrell Washington,Chiefs,2024,0,0,0,,0,0,0,0,0.0
66272,Malachi Corley,Jets,2024,6,2,2,1.0,3,16,0,4,1.3
66272,Malachi Corley,Browns,2025,13,1,1,1.0,11,79,0,71,6.5
66581,Christian Watson,Packers,2022,67,13,9,0.6923076923076923,41,611,7,264,6.4
